"","Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
"215",215,"SPXW230616C04205000",86.9,88.4,9,52,-9.900002,-10.963456,2023-04-14 15:07:18,80.4,0.172207527275085,FALSE,4205,TRUE,0.120606633377075,124.1,2023-04-14 16:09:18,-2.819106,-3.5999985,25,7,121.3,119.7,"SPXW230616P04205000"
"216",216,"SPXW230616C04210000",84.2,85.7,1,398,20.150002,26.202864,2023-04-14 10:00:04,97.05,0.17111844209671,FALSE,4210,TRUE,0.119836072235107,152.56,2023-04-11 10:19:29,0,0,113,1,124,120.6,"SPX230616P04210000"
"217",217,"SPXW230616C04215000",81.6,83.2,17,40,-3.300003,-4.0740776,2023-04-14 15:54:49,77.7,0.170273495101929,FALSE,4215,TRUE,0.117745639038086,129.3,2023-04-14 09:35:59,-0.5384592,-0.69999695,7,7,125.9,124.3,"SPXW230616P04215000"
"218",218,"SPXW230616C04220000",79,80.5,34,211,-11.699997,-13.510389,2023-04-14 14:50:07,74.9,0.169071877479553,FALSE,4220,TRUE,0.116956004600525,143.27,2023-04-12 09:30:43,0,0,58,1,128.7,125.3,"SPX230616P04220000"
"219",219,"SPXW230616C04225000",76.5,78,17,417,-8.799995,-10.589645,2023-04-14 15:48:59,74.3,0.168112490711212,FALSE,4225,TRUE,0.115603707942963,134,2023-04-14 16:09:09,-0.88757175,-1.199997,164,11,131.2,128.6,"SPXW230616P04225000"
"220",220,"SPXW230616C04230000",74,75.5,2,505,6.9000015,11.1111145,2023-04-14 15:36:31,69,0.167095884056091,FALSE,4230,TRUE,0.114148415489197,138.3,2023-04-13 14:41:18,0,0,88,3,133.7,131.1,"SPXW230616P04230000"
"221",221,"SPXW230616C04235000",71.6,73,18,31,-8.900002,-11.588543,2023-04-14 15:55:03,67.9,0.166020150184631,FALSE,4235,TRUE,0.112588219909668,166.5,2023-04-13 08:40:48,0,0,36,10,136.2,133.6,"SPXW230616P04235000"
"222",222,"SPXW230616C04240000",69.2,70.6,29,361,-15.100002,-20.295702,2023-04-14 12:55:23,59.3,0.165037875461578,FALSE,4240,TRUE,0.110909769897461,144.8,2023-04-14 15:41:13,-13.121735,-21.869995,141,3,138.7,136.1,"SPXW230616P04240000"
"223",223,"SPXW230616C04245000",66.8,68.3,19,34,2.7000008,4.9541297,2023-04-14 12:55:23,57.2,0.164149059886932,FALSE,4245,TRUE,0.109778723468781,151.2,2023-04-14 15:05:52,-3.076925,-4.800003,46,5,141.6,138.6,"SPXW230616P04245000"
"224",224,"SPXW230616C04250000",64.5,66,35,296,-9.369995,-13.068335,2023-04-14 15:46:47,62.33,0.163199209766388,FALSE,4250,TRUE,0.10819373260498,151,2023-04-13 14:06:24,0,0,85,6,144.3,141.2,"SPXW230616P04250000"
